PoArea,PdArea,OrdLdMi,All-In
p_oarea_UT-SLC,p_darea_AZ-PHX,660,1062.81
p_oarea_UT-SLC,p_darea_AZ-PHX,697,1125.12
p_oarea_UT-SLC,p_darea_AZ-PHX,740,1193.53
p_oarea_UT-SLC,p_darea_AZ-PHX,750,1194.86
p_oarea_UT-SLC,p_darea_AZ-PHX,750,1199.38
p_oarea_UT-SLC,p_darea_AZ-PHX,722,1375.91
p_oarea_UT-SLC,p_darea_AZ-PHX,732,1442.84
p_oarea_UT-SLC,p_darea_AZ-PHX,738,2225.45
p_oarea_UT-SLC,p_darea_AZ-PHX,672,1099.07
p_oarea_WA-C,p_darea_AZ-PHX,1227,2250
p_oarea_WA-C,p_darea_AZ-PHX,1325,3287.15
p_oarea_WA-C,p_darea_AZ-PHX,1243,2200
p_oarea_WA-C,p_darea_AZ-PHX,1302,2750
p_oarea_WA-S,p_darea_AZ-PHX,1292,2568.56
p_oarea_WA-S,p_darea_AZ-PHX,1168,2456.4
p_oarea_WA-S,p_darea_AZ-PHX,1168,2456.08
p_oarea_WA-S,p_darea_AZ-PHX,1168,2456.08
p_oarea_WA-S,p_darea_AZ-PHX,1168,2648.77
p_oarea_WA-S,p_darea_AZ-PHX,1168,2468.77
p_oarea_WA-S,p_darea_AZ-PHX,1168,2468.77
p_oarea_WA-S,p_darea_AZ-PHX,1168,2456.4
p_oarea_WA-S,p_darea_AZ-PHX,1168,2456.4
p_oarea_WA-S,p_darea_AZ-PHX,1168,2456.4
p_oarea_WA-S,p_darea_AZ-PHX,1168,2448
p_oarea_WA-S,p_darea_AZ-PHX,1168,2469.1
p_oarea_WA-S,p_darea_AZ-PHX,1168,2469.1
p_oarea_WA-S,p_darea_AZ-PHX,1168,2481.8
p_oarea_WA-S,p_darea_AZ-PHX,1168,2481.8
p_oarea_WA-S,p_darea_AZ-PHX,1168,2481.46
p_oarea_WA-S,p_darea_AZ-PHX,1168,2481.46
p_oarea_WA-S,p_darea_AZ-PHX,1168,2481.8
p_oarea_WA-S,p_darea_AZ-PHX,1168,2481.8
p_oarea_WA-S,p_darea_AZ-PHX,1168,2481.8
p_oarea_WA-SEA,p_darea_AZ-PHX,1388,2451.45
p_oarea_WA-SPO,p_darea_AZ-PHX,1307,2687.1
p_oarea_CA-LA,p_darea_CA-C,362,1226.44
